"Available quantity","Quantidade disponível"
"Featured Product","Produto em destaque"
"Out of stock","Sem estoque"
"Stock temporarily unavailable","Estoque temporariamente indisponível"
"Unavailable","Indisponível"
"View %1","Ver %1"
"Unable to load featured product stock.","Não foi possível carregar o estoque do produto em destaque."
"Unable to refresh stock right now.","Não foi possível atualizar o estoque agora."
"Featured product stock is not configured.","O produto em destaque não está configurado."
"Featured product stock configuration changed.","A configuração do produto em destaque foi alterada."
"Please enter a featured product SKU.","Informe um SKU para o produto em destaque."
"The featured product SKU ""%1"" does not exist.","O SKU ""%1"" do produto em destaque não existe."
"Please enter the stock refresh interval as an integer number of milliseconds.","Informe o intervalo de atualização do estoque como um número inteiro em milissegundos."
"The stock refresh interval must be at least %1 milliseconds.","O intervalo de atualização do estoque deve ser de pelo menos %1 milissegundos."
